#,restaurantName,region,district,neighborhood,address,phone,whatsapp,publicEmail,emailTrust,website,instagram,googleMapsUrl,googleRating,googleReviewCount,websiteStatus,websiteScore,leadScore,priority,problem1,problem2,problem3,websiteAnalysis,opportunities,salkayPitch,source,dateChecked,contactStatus,outreachNotes,importMode,recordSafety
75,Sorelle Pizza e Lasagne,ANADOLU,Üsküdar,Beylerbeyi,"Beylerbeyi Mah., Eski Çınar Sk. No:14/B, 34676 Üsküdar/İstanbul",+90 546 689 43 99,,,NOT_FOUND,,@sorelle.pizza,https://www.google.com/maps/search/?api=1&query=Sorelle+Pizza+e+Lasagne+%C3%9Csk%C3%BCdar+Istanbul,4.9,477,NO_WEBSITE,,9.5,HIGH,Bağımsız website bulunmadı.,Adres kaynakları arasında sokak/kapı numarası çelişkisi var.,,Bağımsız website bulunmadı.,Markalı site + pizza/lasagne SEO + menü + rezervasyon/WhatsApp.,4.9 puan + no-site güçlü satış açısı.,Prior final research; official website and/or current public business records where noted,2026-09-07,NOT_CONTACTED,Structured/Yemeksepeti support Eski Çınar Sk. No:14/B; Yandex conflict: Abdullahağa Hamamı Sk. No:2.,DRY_RUN_ONLY,FINAL_RESEARCH_SAFE
76,KAEL Burger,ANADOLU,Üsküdar,Çengelköy,"Çengelköy Mah., Çengeloğlu Sk. No:24A, Üsküdar/İstanbul",+90 532 280 20 41,,,NOT_FOUND,https://kaelburger.com,@kaelistanbul,https://www.google.com/maps/search/?api=1&query=KAEL+Burger+%C3%9Csk%C3%BCdar+Istanbul,4.9,430,WEAK,3.8,8.8,HIGH,Site son derece minimal; SEO ve içerik kapsamı çok dar.,,,Site son derece minimal; SEO ve içerik kapsamı çok dar.,Burger SEO + menü içerikleri + Çengelköy landing pages + dönüşüm.,Mevcut siteyi koruyup SEO/UX kapsamını ciddi büyüt.,Prior final research; official website and/or current public business records where noted,2026-09-07,NOT_CONTACTED,Official site/current business use 24A; Yandex showed No:26.,DRY_RUN_ONLY,FINAL_RESEARCH_SAFE
77,İsmet Baba Restaurant,ANADOLU,Üsküdar,Kuzguncuk,"Kuzguncuk Mah., Kuzguncuk Çarşı Cd. No:1, 34674 Üsküdar/İstanbul",+90 216 341 33 75,,,THIRD_PARTY_VERIFIED,https://ismetbaba.com.tr,,https://www.google.com/maps/search/?api=1&query=%C4%B0smet+Baba+Restaurant+%C3%9Csk%C3%BCdar+Istanbul,4.1,2800,VERY_WEAK,2.9,9.0,HIGH,Domain mevcut ancak güncel resmî site içeriği güçlü biçimde doğrulanamadı.,,,Domain mevcut ancak güncel resmî site içeriği güçlü biçimde doğrulanamadı.,Kuzguncuk marka hikâyesi + balık SEO + menü/rezervasyon.,Telefonla outreach; email önce yeniden doğrulansın.,Prior final research; official website and/or current public business records where noted,2026-09-07,NOT_CONTACTED,Third-party email ismetbaba@ttnet.net.tr; do not auto-email. Older phone: +90 216 553 12 32.,DRY_RUN_ONLY,FINAL_RESEARCH_SAFE
78,Okyanus Balık Restaurant,ANADOLU,Üsküdar,Mimar Sinan,"Mimar Sinan Mah., Atlamataşı Atlas Sk. No:26/1-2, Üsküdar/İstanbul",+90 216 495 74 73,,info@okyanususkudar.com,OFFICIAL_VERIFIED,https://okyanususkudar.com,,https://www.google.com/maps/search/?api=1&query=Okyanus+Bal%C4%B1k+Restaurant+%C3%9Csk%C3%BCdar+Istanbul,3.4,1337,WEAK,4.0,8.8,HIGH,Site metinlerinde yazım/profesyonellik sorunları var.,,,Site metinlerinde yazım/profesyonellik sorunları var.,İçerik temizliği + balık SEO + menü + rezervasyon.,Mevcut siteyi marka güveni ve local SEO açısından yenile.,Prior final research; official website and/or current public business records where noted,2026-09-07,NOT_CONTACTED,Official mobile/restaurant: +90 542 402 83 53. Tripadvisor phone +90 536 840 94 46 not primary.,DRY_RUN_ONLY,FINAL_RESEARCH_SAFE
79,Kargümüş Park Lokantası,ANADOLU,Üsküdar,Kirazlıtepe,"Kirazlıtepe Mah., Orhan Seyfi Orhon Cd. No:40, 34682 Üsküdar/İstanbul",+90 216 318 70 80,,info@kargumusrestoran.com,OFFICIAL_VERIFIED,https://kargumusrestoran.com,,https://www.google.com/maps/search/?api=1&query=Karg%C3%BCm%C3%BC%C5%9F+Park+Lokantas%C4%B1+%C3%9Csk%C3%BCdar+Istanbul,4.3,568,WEAK,3.8,8.9,HIGH,Site temel/eski ve yazım hataları içeriyor.,İletişim formu/metinlerinde profesyonellik sorunları var.,,Site temel/eski ve yazım hataları içeriyor.,Modernizasyon + Kirazlıtepe local SEO + menü + rezervasyon.,Somut typo ve eski görünümü hızlı iyileştirme paketiyle göster.,Prior final research; official website and/or current public business records where noted,2026-09-07,NOT_CONTACTED,Conflicting third-party phone +90 216 422 93 48; official/current primary used.,DRY_RUN_ONLY,FINAL_RESEARCH_SAFE
80,Lokanta İMREN,ANADOLU,Üsküdar,Valide-i Atik,"Valide-i Atik Mah., Miroğlu Sk. No:10/A, 34664 Üsküdar/İstanbul",+90 216 341 19 79,,,NOT_FOUND,,,https://www.google.com/maps/search/?api=1&query=Lokanta+%C4%B0MREN+%C3%9Csk%C3%BCdar+Istanbul,4.6,986,NO_WEBSITE,,9.5,HIGH,Bağımsız website bulunmadı.,,,Bağımsız website bulunmadı.,Yeni site + günlük menü + Valide-i Atik local SEO + telefon CTA.,Güçlü ilk temas: yaklaşık 1K yorum + no-site.,Prior final research; official website and/or current public business records where noted,2026-09-07,NOT_CONTACTED,Unclaimed Tripadvisor address differs; current structured/Yandex use 10/A.,DRY_RUN_ONLY,FINAL_RESEARCH_SAFE
81,Speedy's Pizza Cafe Restoran,ANADOLU,Üsküdar,Sultantepe,"Sultantepe Mah., Selmani Pak Cd. No:13/A, 34674 Üsküdar/İstanbul",+90 216 693 33 33,,info@speedspizza.com,OFFICIAL_VERIFIED,https://speedyspizza.com.tr,,https://www.google.com/maps/search/?api=1&query=Speedy%27s+Pizza+Cafe+Restoran+%C3%9Csk%C3%BCdar+Istanbul,4.0,504,WEAK,4.4,8.5,HIGH,Site üzerinde hazır tema/chef bölümü kalıntıları var.,Saat ve içerik bilgileri dış kaynaklarla uyumsuz.,,Site üzerinde hazır tema/chef bölümü kalıntıları var.,Tema temizliği + pizza SEO + menü + sipariş/WhatsApp dönüşümü.,Canlı theme-remnant problemini somut örnekle göster.,Prior final research; official website and/or current public business records where noted,2026-09-07,NOT_CONTACTED,Email domain differs from website spelling; do not 'correct' it.,DRY_RUN_ONLY,FINAL_RESEARCH_SAFE
82,Meşreb Çamlıca Kafe,ANADOLU,Üsküdar,Kısıklı,"Kısıklı Mah., Ferah Cd. No:8, 34692 Üsküdar/İstanbul",+90 537 319 56 11,,bilgi@mesrebkafe.com.tr,OFFICIAL_VERIFIED,https://mesrebkafe.com.tr,,https://www.google.com/maps/search/?api=1&query=Me%C5%9Freb+%C3%87aml%C4%B1ca+Kafe+%C3%9Csk%C3%BCdar+Istanbul,4.3,298,VERY_WEAK,3.0,2.0,QUALIFIED_OUT,Site çok eski ve fiyat/içerik güncelliği zayıf.,,,Site çok eski ve fiyat/içerik güncelliği zayıf.,Ancak işletme kaydı kapalı göründüğü için outreach yapılmamalı.,HOLD / DO NOT CONTACT.,Prior final research; official website and/or current public business records where noted,2026-09-07,NOT_CONTACTED,Structured business status: Permanently Closed. Official-site phones +90 216 310 29 19 / +90 552 320 52 19. DO_NOT_CONTACT.,DRY_RUN_ONLY,FINAL_RESEARCH_SAFE
83,Hakiki Kebap,ANADOLU,Üsküdar,İcadiye / Bağlarbaşı,"Cumhuriyet Cd. No:165/A, 34674 Üsküdar/İstanbul",+90 216 495 87 87,,info@hakikikebap.com,OFFICIAL_VERIFIED,https://hakikikebap.com,,https://www.google.com/maps/search/?api=1&query=Hakiki+Kebap+%C3%9Csk%C3%BCdar+Istanbul,4.1,1151,IMPROVABLE,5.8,7.6,MEDIUM,Site kullanılabilir fakat içerik/SEO derinliği geliştirilebilir.,Üçüncü taraf adres numarası çelişkileri var.,,Site kullanılabilir fakat içerik/SEO derinliği geliştirilebilir.,NAP standardizasyonu + kebap local SEO + menu/FAQ geliştirme.,SEO + conversion paketi; tam rebuild şart değil.,Prior final research; official website and/or current public business records where noted,2026-09-07,NOT_CONTACTED,Secondary phone: +90 216 553 57 45. Use official/structured address 165/A.,DRY_RUN_ONLY,FINAL_RESEARCH_SAFE
84,Mutfak Ev Yemekleri,ANADOLU,Üsküdar,Bulgurlu / Libadiye,"Bulgurlu, Uzundere Sk. No:39, Libadiye Cd., 34696 Üsküdar/İstanbul",+90 216 650 73 50,,,NOT_FOUND,,mutfak.ev,https://www.google.com/maps/search/?api=1&query=Mutfak+Ev+Yemekleri+%C3%9Csk%C3%BCdar+Istanbul,4.8,67,NO_WEBSITE,,9.2,HIGH,Bağımsız website yok; bazı dizinler Instagram'ı website olarak gösteriyor.,,,Bağımsız website yok; bazı dizinler Instagram'ı website olarak gösteriyor.,Yeni site + günlük menü + Bulgurlu/Libadiye local SEO.,Instagram-only görünümü markalı domaine taşı.,Prior final research; official website and/or current public business records where noted,2026-09-07,NOT_CONTACTED,,DRY_RUN_ONLY,FINAL_RESEARCH_SAFE
85,Doyum Ev Yemekleri,ANADOLU,Üsküdar,Beylerbeyi,"Beylerbeyi Mah., Arabacılar Sokak & Yalıboyu Caddesi 8/17, 34676 Üsküdar/İstanbul",+90 546 268 31 93,,,NOT_FOUND,,,https://www.google.com/maps/search/?api=1&query=Doyum+Ev+Yemekleri+%C3%9Csk%C3%BCdar+Istanbul,4.6,113,NO_WEBSITE,,9.4,HIGH,Bağımsız website yok.,"Adres kaynakları arasında 8/17, 8/B ve eski No:6 çelişkisi var.",,Bağımsız website yok.,Yeni site + Beylerbeyi ev yemekleri SEO + NAP temizliği + WhatsApp.,No-site + yüksek puan; adres temizliğini de pakete ekle.,Prior final research; official website and/or current public business records where noted,2026-09-07,NOT_CONTACTED,Secondary/older phone: +90 216 321 01 52.,DRY_RUN_ONLY,FINAL_RESEARCH_SAFE
86,Altı Üstü Köfte,ANADOLU,Üsküdar,Mimar Sinan,"Mimar Sinan Mah., Uncular Cd. No:10, 34672 Üsküdar/İstanbul",+90 532 365 14 46,,info@altiustukofte.com,OFFICIAL_VERIFIED,https://altiustukofte.com,,https://www.google.com/maps/search/?api=1&query=Alt%C4%B1+%C3%9Cst%C3%BC+K%C3%B6fte+%C3%9Csk%C3%BCdar+Istanbul,4.5,3272,GOOD,7.8,4.2,QUALIFIED_OUT,Site güçlü ve güncel; ilk redesign hedefi değil.,,,Site güçlü ve güncel; ilk redesign hedefi değil.,İleri seviye SEO/ads ancak ikincil fırsat.,İlk outreach dışında tut.,Prior final research; official website and/or current public business records where noted,2026-09-07,NOT_CONTACTED,Conflicting third-party phones exist; official site + current business agree on primary.,DRY_RUN_ONLY,FINAL_RESEARCH_SAFE
87,Saklı Kubbe Restaurant,ANADOLU,Üsküdar,Aziz Mahmut Hüdayi,"Aziz Mahmut Hüdayi Mah., Uncular Cd. No:21 D:3B, 34672 Üsküdar/İstanbul",+90 541 246 56 44,,,NOT_FOUND,https://saklikubbe.com,@saklikubbe,https://www.google.com/maps/search/?api=1&query=Sakl%C4%B1+Kubbe+Restaurant+%C3%9Csk%C3%BCdar+Istanbul,4.3,1544,VERY_WEAK,2.8,9.3,HIGH,Ana sayfada placeholder/wrong telefon 0216 123 45 67 yayınlanmış.,QodeInteractive demo email ve yabancı tema içerikleri canlıda.,,Ana sayfada placeholder/wrong telefon 0216 123 45 67 yayınlanmış.,Acil teknik/içerik temizliği + premium redesign + Üsküdar local SEO.,Çok güçlü somut hata lead'i; yanlış telefon ve demo emaili göster.,Prior final research; official website and/or current public business records where noted,2026-09-07,NOT_CONTACTED,Menu page/current business phone +90 541 246 56 44. Do not use demo email.,DRY_RUN_ONLY,FINAL_RESEARCH_SAFE
88,Paçi Lounge,ANADOLU,Üsküdar,Mimar Sinan / Harem,"Mimar Sinan Mah., Üsküdar Harem Sahil Yolu No:10, 34668 Üsküdar/İstanbul",+90 216 334 97 50,,info@pacilounge.com,OFFICIAL_VERIFIED,https://pacilounge.com,,https://www.google.com/maps/search/?api=1&query=Pa%C3%A7i+Lounge+%C3%9Csk%C3%BCdar+Istanbul,4.0,4724,IMPROVABLE,6.1,6.9,MEDIUM,Site temel kurumsal yapıda; fırsat daha çok local SEO/landing-page tarafında.,,,Site temel kurumsal yapıda; fırsat daha çok local SEO/landing-page tarafında.,Local SEO + event/menu landing pages + conversion.,"Tam rebuild değil, görünürlük ve dönüşüm odaklı paket.",Prior final research; official website and/or current public business records where noted,2026-09-07,NOT_CONTACTED,Rating/review values had source variation; these are prior final values.,DRY_RUN_ONLY,FINAL_RESEARCH_SAFE
89,Bridge Nakkaştepe,ANADOLU,Üsküdar,Kuzguncuk / Nakkaştepe,"Kuzguncuk Mah., Nakkaştepe Yolu No:56, 34632 Üsküdar/İstanbul",+90 216 391 95 85,,,HISTORICAL,https://bridgenakkastepe.com,,https://www.google.com/maps/search/?api=1&query=Bridge+Nakka%C5%9Ftepe+%C3%9Csk%C3%BCdar+Istanbul,4.3,2340,WEAK,3.7,8.8,HIGH,Current site/domain doğrulaması ile historical domain/e-posta kayıtları arasında kopukluk var.,,,Current site/domain doğrulaması ile historical domain/e-posta kayıtları arasında kopukluk var.,Domain/NAP standardizasyonu + Nakkaştepe local SEO + event conversion.,Telefonla outreach; historical emaili kullanma.,Prior final research; official website and/or current public business records where noted,2026-09-07,NOT_CONTACTED,Historical email info@bridgerestaurant.com.tr; old domain bridgerestaurant.com.tr. Older municipal guide had No:62; current use No:56.,DRY_RUN_ONLY,FINAL_RESEARCH_SAFE
90,İnciraltı Meyhanesi,ANADOLU,Üsküdar,Beylerbeyi,"Beylerbeyi Mah., Arabacılar Sok. No:4, 34676 Üsküdar/İstanbul",+90 216 557 66 86,,iletisim@inciralti.com.tr,OFFICIAL_VERIFIED,https://inciralti.com.tr,@inciraltimeyhanesi,https://www.google.com/maps/search/?api=1&query=%C4%B0nciralt%C4%B1+Meyhanesi+%C3%9Csk%C3%BCdar+Istanbul,4.3,1342,WEAK,4.6,8.1,HIGH,Site eski/minimal ve footer ©2020.,Adres gösterimi kaynaklar arasında farklı formatlanıyor.,,Site eski/minimal ve footer ©2020.,Modernizasyon + meyhane SEO + menü + NAP standardizasyonu.,Eski site görünümü + local SEO temizliğini birlikte sat.,Prior final research; official website and/or current public business records where noted,2026-09-07,NOT_CONTACTED,Mobile: +90 530 265 25 05. Structured listing may show Beylerbeyi İskele Cd. No:4.,DRY_RUN_ONLY,FINAL_RESEARCH_SAFE
91,Tarihi Kısıklı Fasulyecisi,ANADOLU,Üsküdar,Kısıklı,"Kısıklı Mah., Kısıklı Cd. No:136, Üsküdar/İstanbul",+90 530 084 95 61,,,THIRD_PARTY_VERIFIED,https://kisiklifasulyecisi.com,@tarihikisiklifasulyecisi,https://www.google.com/maps/search/?api=1&query=Tarihi+K%C4%B1s%C4%B1kl%C4%B1+Fasulyecisi+%C3%9Csk%C3%BCdar+Istanbul,4.2,1700,WEAK,3.9,8.9,HIGH,Telefon/saat bilgileri kaynaklar arasında tutarsız.,,,Telefon/saat bilgileri kaynaklar arasında tutarsız.,NAP cleanup + Kısıklı local SEO + menü + conversion.,Telefonla outreach; email yeniden doğrulanmadan kullanma.,Prior final research; official website and/or current public business records where noted,2026-09-07,NOT_CONTACTED,"Third-party email tarihikurufasulyecisi@outlook.com. Alternative phones: +90 216 599 04 61, +90 216 325 56 85.",DRY_RUN_ONLY,FINAL_RESEARCH_SAFE
92,Mengen Lokantası,ANADOLU,Üsküdar,Mimar Sinan,"Mimar Sinan Mah., Abdülkerim Paşa Sk. No:3/A, 34672 Üsküdar/İstanbul",+90 216 334 60 01,,,NOT_FOUND,,,https://www.google.com/maps/search/?api=1&query=Mengen+Lokantas%C4%B1+%C3%9Csk%C3%BCdar+Istanbul,4.2,1150,NO_WEBSITE,,9.5,HIGH,Bağımsız website bulunmadı.,Eski directory adresi Molla Eşref Sk. No:15 olarak farklı.,,Bağımsız website bulunmadı.,Yeni site + menü + Üsküdar local SEO + NAP temizliği.,1K+ yorum + no-site çok güçlü lead.,Prior final research; official website and/or current public business records where noted,2026-09-07,NOT_CONTACTED,,DRY_RUN_ONLY,FINAL_RESEARCH_SAFE
93,Beylerbeyi Doğa Balık & Kahvaltı,ANADOLU,Üsküdar,Beylerbeyi,"Beylerbeyi Mah., Yalıboyu Cd. No:36, Üsküdar/İstanbul",+90 532 204 22 32,,info@beylerbeyidoga.com,OFFICIAL_VERIFIED,https://beylerbeyidoga.com,@beylerbeyidoga,https://www.google.com/maps/search/?api=1&query=Beylerbeyi+Do%C4%9Fa+Bal%C4%B1k+%26+Kahvalt%C4%B1+%C3%9Csk%C3%BCdar+Istanbul,4.1,421,IMPROVABLE,6.4,6.7,MEDIUM,Site güncel ama içerik/UX ve marka mimarisi geliştirilebilir.,,,Site güncel ama içerik/UX ve marka mimarisi geliştirilebilir.,Balık + kahvaltı SEO + event landing pages + conversion.,"Tam rebuild değil, içerik ve dönüşüm paketi.",Prior final research; official website and/or current public business records where noted,2026-09-07,NOT_CONTACTED,Secondary landline: +90 216 422 28 51.,DRY_RUN_ONLY,FINAL_RESEARCH_SAFE
94,Üsküdar Sokak Dönercisi,ANADOLU,Üsküdar,Mimar Sinan,"Mimar Sinan Mah., Molla Eşref Sk. No:15E, Üsküdar/İstanbul",+90 542 249 43 53,,,NOT_FOUND,,,https://www.google.com/maps/search/?api=1&query=%C3%9Csk%C3%BCdar+Sokak+D%C3%B6nercisi+%C3%9Csk%C3%BCdar+Istanbul,4.7,413,NO_WEBSITE,,9.5,HIGH,Bağımsız website bulunmadı.,,,Bağımsız website bulunmadı.,Yeni site + döner SEO + dijital menü + WhatsApp/telefon dönüşümü.,4.7 puan + no-site güçlü ilk temas.,Prior final research; official website and/or current public business records where noted,2026-09-07,NOT_CONTACTED,Structured address may show No:15; Yandex/Yemeksepeti support 15E. KEP address is not normal outreach email.,DRY_RUN_ONLY,FINAL_RESEARCH_SAFE
95,Bay Mantı & Cafe,ANADOLU,Üsküdar,Kuzguncuk,"İcadiye Cd. No:68/A, Kuzguncuk, 34674 Üsküdar/İstanbul",+90 555 543 91 80,,bilgi@baymanti.com,OFFICIAL_VERIFIED,https://baymanti.com,,https://www.google.com/maps/search/?api=1&query=Bay+Mant%C4%B1+%26+Cafe+%C3%9Csk%C3%BCdar+Istanbul,4.6,505,IMPROVABLE,6.0,7.4,MEDIUM,Site ve işletme kaydı telefon/saat bilgilerinde farklılık gösteriyor.,,,Site ve işletme kaydı telefon/saat bilgilerinde farklılık gösteriyor.,NAP/saat temizliği + Kuzguncuk local SEO + menü conversion.,Mevcut iyi temeli koruyup local SEO ve dönüşümü düzelt.,Prior final research; official website and/or current public business records where noted,2026-09-07,NOT_CONTACTED,Official website phone: +90 216 310 15 36; current structured phone used as primary.,DRY_RUN_ONLY,FINAL_RESEARCH_SAFE
96,Kuzguncuk Kavurmacısı,ANADOLU,Üsküdar,Kuzguncuk,"Kuzguncuk Mah., İcadiye Cd., Tufan Sk. No:3, 34674 Üsküdar/İstanbul",+90 532 381 74 22,,,NOT_FOUND,,@kuzguncuk.kavurmacisi,https://www.google.com/maps/search/?api=1&query=Kuzguncuk+Kavurmac%C4%B1s%C4%B1+%C3%9Csk%C3%BCdar+Istanbul,4.9,882,NO_WEBSITE,,9.6,HIGH,Bağımsız kurumsal website yok; Linktree/Canva/Instagram ağırlıklı.,Eski adres kaydı İcadiye Cd. No:64/B ile çelişiyor.,,Bağımsız kurumsal website yok; Linktree/Canva/Instagram ağırlıklı.,Markalı domain + menü + Kuzguncuk kavurma SEO + WhatsApp conversion.,En güçlü no-site leadlerden: 4.9/882 + sosyal araçlara bağımlı.,Prior final research; official website and/or current public business records where noted,2026-09-07,NOT_CONTACTED,,DRY_RUN_ONLY,FINAL_RESEARCH_SAFE
97,Lalloli Café,ANADOLU,Üsküdar,Kuzguncuk,"Kuzguncuk Mah., Paşalimanı Cd. No:80/1/1, 34674 Üsküdar/İstanbul",+90 536 835 92 68,,,NOT_FOUND,https://lalloli.com,,https://www.google.com/maps/search/?api=1&query=Lalloli+Caf%C3%A9+%C3%9Csk%C3%BCdar+Istanbul,4.8,782,VERY_WEAK,2.4,9.0,HIGH,Listelenen domain mevcut fakat doğrudan erişim/doğrulama sorunu yaşandı.,Telefon ve adres formatı kaynaklar arasında farklı.,,Listelenen domain mevcut fakat doğrudan erişim/doğrulama sorunu yaşandı.,Site erişim/teknik düzeltme + Kuzguncuk cafe SEO + conversion.,Önce domain erişimini teyit et; teknik problem güçlü satış açısı.,Prior final research; official website and/or current public business records where noted,2026-09-07,NOT_CONTACTED,Alternative phone: +90 542 176 28 88. Yandex address formatting conflict.,DRY_RUN_ONLY,FINAL_RESEARCH_SAFE
98,Bağevi Kebapçısı,ANADOLU,Üsküdar,Mimar Sinan,"Mimar Sinan Mah., Molla Eşref Sk. No:5/5A, 34672 Üsküdar/İstanbul",+90 533 815 45 27,,,NOT_FOUND,https://bagevikebapcisi.com,@bagevikebapcisi,https://www.google.com/maps/search/?api=1&query=Ba%C4%9Fevi+Kebap%C3%A7%C4%B1s%C4%B1+%C3%9Csk%C3%BCdar+Istanbul,4.8,695,VERY_WEAK,2.7,9.2,HIGH,Domain işletmeyle ilişkili ancak araştırma sırasında 502 Bad Gateway verdi.,,,Domain işletmeyle ilişkili ancak araştırma sırasında 502 Bad Gateway verdi.,Acil site erişim/hosting düzeltmesi + kebap SEO + menü.,Canlı teknik erişim problemi çok somut satış açısı.,Prior final research; official website and/or current public business records where noted,2026-09-07,NOT_CONTACTED,Structured address No:5; Yandex/Tripadvisor 5A. Do not guess info@ address.,DRY_RUN_ONLY,FINAL_RESEARCH_SAFE
99,Seyir Üsküdar Kafe,ANADOLU,Üsküdar,Mimar Sinan,"Mimar Sinan Mah., Selmanağa Çeşmesi Sok. No:4 D:2, 34672 Üsküdar/İstanbul",+90 532 179 83 36,,,NOT_FOUND,,@seyir.uskudar,https://www.google.com/maps/search/?api=1&query=Seyir+%C3%9Csk%C3%BCdar+Kafe+%C3%9Csk%C3%BCdar+Istanbul,4.9,216,NO_WEBSITE,,9.4,HIGH,Yeni/aktif işletme olmasına rağmen bağımsız website yok.,,,Yeni/aktif işletme olmasına rağmen bağımsız website yok.,Yeni site + kahvaltı/cafe local SEO + menü + rezervasyon.,Yeni marka + 4.9 puan + no-site güçlü erken dönem fırsat.,Prior final research; official website and/or current public business records where noted,2026-09-07,NOT_CONTACTED,Prior research indicated opening in early 2026.,DRY_RUN_ONLY,FINAL_RESEARCH_SAFE
100,Çeşnihan Restaurant,ANADOLU,Üsküdar,Çengelköy,"Çengelköy Mah., Prof. Dr. Beynun Akyavaş Cd. No:33/B, 34680 Üsküdar/İstanbul",+90 532 514 58 29,,,NOT_FOUND,,,https://www.google.com/maps/search/?api=1&query=%C3%87e%C5%9Fnihan+Restaurant+%C3%9Csk%C3%BCdar+Istanbul,4.9,157,NO_WEBSITE,,9.3,HIGH,Bağımsız resmî website/email doğrulanmadı.,Adres numarası Yandex bina kaydında 33/1 olarak farklı.,,Bağımsız resmî website/email doğrulanmadı.,Yeni site + domain + kurumsal email + HTML menü + Çengelköy local SEO + WhatsApp.,Yeni markalı altyapı için güçlü no-site adayı.,Prior final research; official website and/or current public business records where noted,2026-09-07,NOT_CONTACTED,Use 33/B as final admin address; keep 33/1 conflict note.,DRY_RUN_ONLY,FINAL_RESEARCH_SAFE
